,Name,Price,Date,Bids,Condition,Type,Location
0,Charizard 4/102 base set,£180.00,Sold 10 Jul 2024,21 bids,Pre-owned,Auction,United Kingdom
1,Charizard 4/102 base set,£70.00,Sold 9 Jul 2024,1 bid,Pre-owned,Auction,United Kingdom
2,Charizard 4/102 base set,£131.00,Sold 9 Jul 2024,15 bids,New (other),Auction,United Kingdom
3,Charizard 4/102 base set,£78.50,Sold 8 Jul 2024,19 bids,Pre-owned,Auction,United Kingdom
4,Charizard 4/102 base set,£132.00,Sold 8 Jul 2024,12 bids,New (other),Auction,United Kingdom
5,Charizard 4/102 base set,£41.50,Sold 8 Jul 2024,10 bids,New (other),Auction,United Kingdom
6,Charizard 4/102 base set,£177.91,Sold 8 Jul 2024,32 bids,Pre-owned,Auction,United Kingdom
7,Charizard 4/102 base set,£40.50,Sold 8 Jul 2024,6 bids,Pre-owned,Auction,United Kingdom
8,Charizard 4/102 base set,£76.00,Sold 7 Jul 2024,11 bids,Pre-owned,Auction,United Kingdom
9,Charizard 4/102 base set,£190.00,Sold 7 Jul 2024,4 bids,Pre-owned,Auction,United Kingdom
10,Charizard 4/102 base set,£107.00,Sold 7 Jul 2024,2 bids,Pre-owned,Auction,United Kingdom
11,Charizard 4/102 base set,£250.00,Sold 7 Jul 2024,1 bid,New (other),Auction,United Kingdom
12,Charizard 4/102 base set,£102.00,Sold 7 Jul 2024,6 bids,New (other),Auction,United Kingdom
13,Charizard 4/102 base set,£154.00,Sold 7 Jul 2024,12 bids,Pre-owned,Auction,United Kingdom
14,Charizard 4/102 base set,£110.00,Sold 6 Jul 2024,25 bids,New (other),Auction,United Kingdom
15,Charizard 4/102 base set,£510.00,Sold 6 Jul 2024,34 bids,New (other),Auction,United Kingdom
16,Charizard 4/102 base set,£110.00,Sold 6 Jul 2024,4 bids,Pre-owned,Auction,United Kingdom
17,Charizard 4/102 base set,£81.00,Sold 5 Jul 2024,19 bids,New (other),Auction,United Kingdom
18,Charizard 4/102 base set,£52.12,Sold 4 Jul 2024,14 bids,Pre-owned,Auction,United Kingdom
19,Charizard 4/102 base set,£207.00,Sold 4 Jul 2024,34 bids,Pre-owned,Auction,United Kingdom
20,Charizard 4/102 base set,£190.00,Sold 4 Jul 2024,24 bids,Pre-owned,Auction,United Kingdom
21,Charizard 4/102 base set,£549.00,Sold 2 Jul 2024,1 bid,New (other),Auction,United Kingdom
